"Iteration"	"logProb"	"currentDecryptedText"	"correctText"
106	0.000851690484171738	"nfjf lo k okegaf sfrs"	0
107	0.000851690484171738	"nfjf lh k hkegaf sfrs"	0
108	0.000851690484171738	"nfjf li k ikegaf sfrs"	0
109	0.000851690484171738	"nfof li k ikegaf sfrs"	0
110	0.000851690484171738	"nfof li k ikegbf sfrs"	0
111	0.000851690484171738	"nfof li k ikegbf sfrs"	0
112	0.000851690484171738	"nfof li k ikegbf sfrs"	0
113	0.000851690484171738	"nfof li k ikegcf sfrs"	0
114	0.000851690484171738	"nfof li k ikegcf sfrs"	0
115	0.000851690484171738	"nfof li k ikegcf sfrs"	0
116	0.000851690484171738	"nfmf li k ikegcf sfrs"	0
117	0.000851690484171738	"nfmf li k ikegcf sfrs"	0
118	0.000851690484171738	"nkmk li f ifegck skrs"	0
119	0.000851690484171738	"nkmk li f ifhgck skrs"	0
120	0.000851690484171738	"nkmk li f ifhgck skrs"	0
121	0.000851690484171738	"nkmk li f ifhwck skrs"	0
122	0.000851690484171738	"nkmk li f ifhwck vkrv"	0
123	0.000851690484171738	"nkmk li f ifhwck vkrv"	0
124	0.000851690484171738	"rkmk li f ifhwck vknv"	0
125	0.000851690484171738	"lkmk ri f ifhwck vknv"	0
126	0.000851690484171738	"lkmk di f ifhwck vknv"	0
127	0.000851690484171738	"lkmk di f ifhwck vknv"	0
128	0.000851690484171738	"lkmk di f ifhwck vksv"	0
129	0.000851690484171738	"lkmk di f ifhwck aksa"	0
130	0.000851690484171738	"lkmk di f ifhwck aksa"	0
131	0.000851690484171738	"lkmk di f ifhwck skas"	0
132	0.000851690484171738	"lkmk dc f cfhwik skas"	0
133	0.000851690484171738	"bkmk dc f cfhwik skas"	0
134	0.000851690484171738	"bkmk uc f cfhwik skas"	0
135	0.000851690484171738	"bkmk uz f zfhwik skas"	0
136	0.000851690484171738	"bkmk uz f zfhlik skas"	0
137	0.000851690484171738	"bkmk uz j zjhlik skas"	0
138	0.000851690484171738	"bkmk gz j zjhlik skas"	0
139	0.000851690484171738	"bkjk gz m zmhlik skas"	0
140	0.000851690484171738	"bkjk gz h zhmlik skas"	0
141	0.000851690484171738	"bkjk nz h zhmlik skas"	0
142	0.000851690484171738	"bkjk yz h zhmlik skas"	0
143	0.000851690484171738	"bkjk yh z hzmlik skas"	0
144	0.000851690484171738	"bkjk eh z hzmlik skas"	0
145	0.000851690484171738	"bkjk eh z hzmlik skas"	0
146	0.000851690484171738	"gkjk eh z hzmlik skas"	0
147	0.000851690484171738	"gkjk eh z hzmlak skis"	0
148	0.000851690484171738	"gkjk eh z hzmlak skis"	0
149	0.000851690484171738	"gkjk eh z hznlak skis"	0
150	0.000851690484171738	"gkjk eh z hznlak skis"	0
151	0.000851690484171738	"gkjk eh z hznlak skis"	0
152	0.000851690484171738	"gkjk eh z hznxak skis"	0
153	0.000851690484171738	"gkjk eh z hznxak skis"	0
154	0.000851690484171738	"gkjk eh z hznxak skis"	0
155	0.000851690484171738	"gkjk nh z hzexak skis"	0
156	0.000851690484171738	"gkjk nh z hzexak skis"	0
157	0.000851690484171738	"gkjk ni z izexak skhs"	0
158	0.000851690484171738	"gkjk ni z izexak skhs"	0
159	0.000851690484171738	"gkjk ni z izwxak skhs"	0
160	0.000851690484171738	"gkjk ni z izwxak skhs"	0
161	0.000851690484171738	"gkjk ni z izwxak skhs"	0
162	0.000851690484171738	"gkjk ni z izlxak skhs"	0
163	0.000851690484171738	"gkjk ni z izwxak skhs"	0
164	0.000851690484171738	"gkjk ni z izwxak qkhq"	0
165	0.000851690484171738	"gkjk ni z izwxak tkht"	0
166	0.000851690484171738	"qkjk ni z izwxak tkht"	0
167	0.000851690484171738	"qkjk ni z izwxak tkht"	0
